Paper ID,title,authors,year,venue,cluster,paper_type,classification_evidence,citations (2026-09-06),doi,Scopus (Percentil),SJR Quartile,ISSN / e-ISSN,File name (folder: docs)
P70,Anomaly Detection in Operating System Logs with Deep Learning-Based Sentiment Analysis,Hudan Studiawan; Ferdous Sohel; Christian Payne,2020,IEEE Transactions on Dependable and Secure Computing,Detection (classical ML),systems/empirical,,68,10.1109/tdsc.2020.3037903,"93.0%
  64/1030
  Electrical and Electronic Engineering",Q1,1545-5971,P70_Anomaly_Detection_in_Operating_System_Logs_with_Deep_Learning-Based_Sentiment_Analysis.pdf
P71,The Challenges of Leveraging Threat Intelligence to Stop Data Breaches,Amani S. Ibrahim; Dhananjay Thiruvady; Jean-Guy Schneider; Mohamed Abdelrazek,2020,Frontiers in Computer Science,Automated remediation,unscreened(rule-classified),,63,10.3389/fcomp.2020.00036,"75.0%
  45/183
  Computer Vision and Pattern Recognition",Q2,2624-9898,P71_The_Challenges_of_Leveraging_Threat Intelligence_to_Stop_Data_Breaches.pdf
P72,From Vulnerability to Defense: The Role of Large Language Models in Enhancing Cybersecurity,Wafaa Kasri; Yassine Himeur; Hamzah Ali Alkhazaleh; Saed Tarapiah; Shadi Atalla; Wathiq Mansoor; Hussain Al-Ahmad,2025,Computation,Security IR / SOC,survey/position,,63,10.3390/computation13020030,"85.0%
  101/680
  Applied Mathematics",Q2,2079-3197,P72_From_Vulnerability_to_Defense_The_Role_of_Large_Language_Models_in_Enhancing_Cybersecurity.pdf
P73,Breaking Alert Fatigue: AI-Assisted SIEM Framework for Effective Incident Response,Tao Ban; Takeshi Takahashi; Samuel Ndichu; Daisuke Inoue,2023,Applied Sciences,Alert triage & correlation,systems/empirical,,54,10.3390/app13116610,"82.0%
  18/99
  Fluid Flow and Transfer Processes",Q2,2076-3417,P73_Breaking_Alert_Fatigue_AI-Assisted_SIEM_Framework_for_Effective_Incident_Response.pdf
P74,Transitioning from MLOps to LLMOps: Navigating the Unique Challenges of Large Language Models,Saurabh Pahune; Zahid Akhtar,2025,Information,LLM / agentic ops,unscreened(rule-classified),,58,10.3390/info16020087,"79.0%
  108/519
  Information Systems",Q2,2078-2489,P74_Transitioning_from_MLOps_to_LLMOps_Navigating_the_Unique_Challenges_of_Large_Language_Models.pdf
P75,Enhancing Cloud Security—Proactive Threat Monitoring and Detection Using a SIEM-Based Approach,Emmanuel Tuyishime; Titus Bălan; Petru Adrian Cotfas; Daniel Tudor Cotfas; Alexandre Rekeraho,2023,Applied Sciences,Security IR / SOC,systems/empirical,,32,10.3390/app132212359,"82.0%
  18/99
  Fluid Flow and Transfer Processes",Q2,2076-3417,P75_Enhancing_Cloud_Security-Proactive_Threat_Monitoring_and_Detection_Using_a_SIEM-Based_Approach.pdf
P76,Toward Robust Security Orchestration and Automated Response in Security Operations Centers with a Hyper-Automation Approach Using Agentic Artificial Intelligence,Ismail Ismail; Rahmat Kurnia; Zilmas Arjuna Brata; Ghitha Afina Nelistiani; Shinwook Heo; Hyeongon Kim; Hyeongon Kim; Howon Kim; Howon Kim,2025,Information,Automated remediation,unscreened(rule-classified),,36,10.3390/info16050365,"79.0%
  108/519
  Information Systems",Q2,2078-2489,P76_Toward_Robust_Security_Orchestration_and_Automated_Response_in_Security_Operations_Centers_with_a_Hyper-Automation_Approach_Using_Agentic_AI.pdf
P77,Generative AI revolution in cybersecurity: a comprehensive review of threat intelligence and operations,Mueen Uddin; Muhammad Irshad; Irfan Ali Kandhro; Fuhid Alanazi; Fahad Ahmed; Muhammad Maaz; Saddam Hussain; Syed Sajid Ullah,2025,Artificial Intelligence Review,Security IR / SOC,survey/position,,34,10.1007/s10462-025-11219-5,"99.0%
  1/1221
  Linguistics and Language",Q1,0269-2821,P77_Generative_AI_revolution_in_cybersecurity_a_comprehensive_review_of_threat_intelligence_and_operations.pdf
P78,Advancing Cyber Incident Timeline Analysis Through Retrieval-Augmented Generation and Large Language Models,Fatma Yasmine Loumachi; Mohamed Chahine Ghanem; Mohamed Amine Ferrag,2025,Computers,Security IR / SOC,systems/empirical,,27,10.3390/computers14020067,"86.0%
  25/179
  Computer Science (miscellaneous)",Q1,2073-431X,P78_Advancing_Cyber_Incident_Timeline_Analysis_Through_Retrieval-Augmented_Generation_and_Large_Language_Models.pdf
P79,AI-Augmented SOC: A Survey of LLMs and Agents for Security Automation,S. Srinivas; Brandon Kirk; Julissa Zendejas; Michael Espino; Matthew Boskovich; Abdul Bari; Khalil Dajani; Nabeel Alzahrani,2025,Journal of Cybersecurity and Privacy,Security IR / SOC,survey/position,,28,10.3390/jcp5040095,"85.0%
  27/179
  Computer Science (miscellaneous)",Q1,2624-800X,P79_AI_Augmented_SOC_A_Survey_of_LLMs_and_Agents_for_Security_Automation.pdf
P80,AI-Assisted Security Alert Data Analysis with Imbalanced Learning Methods,Samuel Ndichu; Tao Ban; Takeshi Takahashi; Daisuke Inoue,2023,Applied Sciences,Alert triage & correlation,systems/empirical,,19,10.3390/app13031977,"82.0%
  18/99
  Fluid Flow and Transfer Processes",Q2,2076-3417,P80_AI-Assisted_Security_Alert_Data_Analysis_with_Imbalanced_Learning_Methods.pdf
P81,Enhancing Control Room Operator Decision Making,Joseph Mietkiewicz; Ammar N. Abbas; Chidera Winifred Amazu; Gabriele Baldissone; Anders Madsen; Micaela Demichela; Maria Chiara Leva,2024,Processes,Human factors,systems/empirical,,18,10.3390/pr12020328,"60.0%
  42/106
  Chemical Engineering (miscellaneous)",Q2,2227-9717,P81_Enhancing_Control_Room_Operator_Decision_Making.pdf
P82,Artificial Intelligence Agent-Enabled Predictive Maintenance: Conceptual Proposal and Basic Framework,Wenyu Jiang; Fuwen Hu,2025,Computers,LLM / agentic ops,systems/empirical,,18,10.3390/computers14080329,"86.0%
  25/179
  Computer Science (miscellaneous)",Q1,2073-431X,P82_AI_Agent-Enabled_Predictive_Maintenance_Conceptual_Proposal_and_Basic_Framework.pdf
P83,Enhancing Security Operations Center: Wazuh Security Event Response with Retrieval-Augmented-Generation-Driven Copilot,Ismail Ismail; Rahmat Kurnia; Farid Widyatama; Ilham Mirwansyah Wibawa; Zilmas Arjuna Brata; Ukasyah; Ghitha Afina Nelistiani; Howon Kim,2025,Sensors,Security IR / SOC,systems/empirical,,12,10.3390/s25030870,"91.0%
  19/206
  Instrumentation",Q1,1424-8220,P83_Enhancing_SOC_Wazuh_Security_Event_Response_with_Retrieval-Augmented-Generation-Driven_Copilot.pdf
P84,Availability analysis of redundant and replicated cloud services with Bayesian networks,Otto Bibartiu; Frank Dürr; Kurt Rothermel; Beate Ottenwälder; Andreas Grau,2023,Quality and Reliability Engineering International,Benchmarks & evaluation,systems/empirical,,8,10.1002/qre.3414,"76.0%
  66/282
  Safety, Risk, Reliability and Quality",Q2,0748-8017,P84_Availability_analysis_of_redundant_and_replicated_cloud_services_with_Bayesian_networks.pdf
P85,Thermographic and cognitive assessment of fatigue in vessel traffic service operators: a socio-technical approach,Fernando Crestelo Moreno; John González; Juan Suardíaz Muro; R. López-Alonso,2025,"Cognition, Technology and Work",Automated remediation,unscreened(rule-classified),,6,10.1007/s10111-025-00804-x,"99.0%
  9/891
  Philosophy",Q1,1435-5558,P85_Thermographic_and_cognitive_assessment_of_fatigue_in_vessel_traffic_service_operators_a_socio-technical_approach.pdf
P86,Distributed Tracing for Troubleshooting of Native Cloud Applications via Rule-Induction Systems,Arnak Poghosyan; Ashot Harutyunyan; Naira Grigoryan; Clement Chun Cheong Pang,2023,Journal of Universal Computer Science,Root-cause analysis,systems/empirical,,6,10.3897/jucs.112513,"47.0%
  71/135
  Theoretical Computer Science",Q3,0948-695X,P86_Distributed_Tracing_for_Troubleshooting_of_Native_Cloud_Applications_Rule-Induction_Systems.pdf
P87,An LLM-Based Agentic Network Traffic Incident-Report Approach Towards Explainable-AI Network Defense,Chia-Hong Chou; Arjun Sudheer; Younghee Park,2026,Journal of Sensor and Actuator Networks,LLM / agentic ops,systems/empirical,,1,10.3390/jsan15020032,"97.0%
  6/198
  Control and Optimization",Q2,2224-2708,P87_An_LLM-Based_Agentic_Network_Traffic_Incident-Report_Approach_Towards_Explainable-AI_Network_Defense.pdf
P88,A Decentralised Self-Healing Approach for Network Topology Maintenance,Arles Rodríguez; Jonatan Gómez; Ada Diaconescu,2020,Autonomous Agents and Multi-Agent Systems,Automated remediation,systems/empirical,,8,10.1007/s10458-020-09486-3,"76.0%
  137/570
  Artificial Intelligence",Q2,1387-2532,P88_A decentralised_self-healing_approach_for_network_topology_maintenance.pdf
P89,A unified framework for detecting point and collective anomalies in operating system logs via collaborative transformers,Mohammad Nasirzadeh; Jafar Tahmoresnezhad; Parviz Rashidi-Khazaee,2025,Scientific Reports,Detection (classical ML),systems/empirical,,2,10.1038/s41598-025-27693-4,"87.0%
  29/223",Q1,2045-2322,P89_A_unified_framework_for_detecting_point_and_collective_anomalies_in_operating_system_logs_via_collaborative_transformers.pdf
